62.4500	62.2500	61.2500	60.9000
62.2500	62.4500	62.2500	61.2500
62.2500	62.2500	62.4500	62.2500
63.2500	62.2500	62.2500	62.4500
62.6500	63.2500	62.2500	62.2500
64.0000	62.6500	63.2500	62.2500
64.9000	64.0000	62.6500	63.2500
65.5500	64.9000	64.0000	62.6500
65.9000	65.5500	64.9000	64.0000
64.0000	65.9000	65.5500	64.9000
64.5000	64.0000	65.9000	65.5500
64.4500	64.5000	64.0000	65.9000
64.1000	64.4500	64.5000	64.0000
63.1000	64.1000	64.4500	64.5000
62.5000	63.1000	64.1000	64.4500
63.0000	62.5000	63.1000	64.1000
64.2000	63.0000	62.5000	63.1000
65.4000	64.2000	63.0000	62.5000
69.5000	65.4000	64.2000	63.0000
72.8000	69.5000	65.4000	64.2000
74.8500	72.8000	69.5000	65.4000
74.0000	74.8500	72.8000	69.5000
74.5000	74.0000	74.8500	72.8000
75.5000	74.5000	74.0000	74.8500
75.4000	75.5000	74.5000	74.0000
73.6500	75.4000	75.5000	74.5000
71.7000	73.6500	75.4000	75.5000
72.2500	71.7000	73.6500	75.4000
73.1000	72.2500	71.7000	73.6500
73.5000	73.1000	72.2500	71.7000
72.7500	73.5000	73.1000	72.2500
72.4000	72.7500	73.5000	73.1000
72.9500	72.4000	72.7500	73.5000
73.0000	72.9500	72.4000	72.7500
72.8000	73.0000	72.9500	72.4000
72.7000	72.8000	73.0000	72.9500
73.5000	72.7000	72.8000	73.0000
73.0000	73.5000	72.7000	72.8000
70.8000	73.0000	73.5000	72.7000
70.0000	70.8000	73.0000	73.5000
71.1500	70.0000	70.8000	73.0000
70.0000	71.1500	70.0000	70.8000
70.0000	70.0000	71.1500	70.0000
71.0000	70.0000	70.0000	71.1500
70.5000	71.0000	70.0000	70.0000
70.0000	70.5000	71.0000	70.0000
70.7000	70.0000	70.5000	71.0000
70.0000	70.7000	70.0000	70.5000
70.2000	70.0000	70.7000	70.0000
71.0000	70.2000	70.0000	70.7000
70.8500	71.0000	70.2000	70.0000
68.0000	70.8500	71.0000	70.2000
69.9500	68.0000	70.8500	71.0000
69.8000	69.9500	68.0000	70.8500
69.3000	69.8000	69.9500	68.0000
68.9500	69.3000	69.8000	69.9500
69.6500	68.9500	69.3000	69.8000
70.2000	69.6500	68.9500	69.3000
69.9000	70.2000	69.6500	68.9500
66.8500	69.9000	70.2000	69.6500
68.4000	66.8500	69.9000	70.2000
67.9000	68.4000	66.8500	69.9000
67.0000	67.9000	68.4000	66.8500
66.6000	67.0000	67.9000	68.4000
66.5000	66.6000	67.0000	67.9000
69.0000	66.5000	66.6000	67.0000
69.5000	69.0000	66.5000	66.6000
